x,y
120.6715933333,22.9016783333
120.67794352,23.4458825
121.499695,24.93585333
120.265323,22.628594
121.6963583333,24.8089583333
121.0682586954,24.7032353841
120.4262888153,23.1359235104
120.61553186,23.59503756
120.562225,23.4534361111
120.5003516913,23.2669504395
121.58423667,24.76185333
120.7412774991,23.0602076157
121.5369753912,25.2262523747
120.79155799,22.0697452174
120.874945,22.25924046
121.5743700084,24.0211191923
121.55229167,25.01700283
120.797745,24.1936783333
120.6068015496,22.6361867162
120.9095083333,24.1755366667
120.4916018274,22.888736341
121.1842311464,24.6999142367
120.8958287189,23.86021589
121.4841842651,24.6156406403
121.4466171265,24.8275184631
121.0573361111,22.732875
120.53246402,23.1260395401
120.789564,23.730811
120.6317609722,23.725348
121.020917,24.072722
120.4845,22.5669
120.734672,24.008479
