x,y
121.0085983276,23.9976615906
120.7028600201,23.2487518694
121.6542085182,24.9901074799
120.497804125,23.2256736478
121.020349,24.169179
121.39692,23.716895
121.42646926,25.1359949197
121.5088333333,25.20294
121.88185,24.9572033333
121.540377,24.625861
120.81509,22.3798
121.803429,24.612035
120.9911861709,22.6883750878
120.76950981,23.84131035
120.8615416667,22.0211016667
121.55742,25.015025
120.7974071,24.1940268
121.0219945,24.72088333
120.5991508492,24.0015185986
120.69651055,23.58486447
120.6039091667,23.5374902778
121.6449456989,24.6533776446
121.768354,24.335428
121.4814872074,23.8779964594
121.4457964,25.0328345
121.44863833,24.82565833
120.7907056307,23.7287994848
121.255525,24.81867
121.77224667,24.83930333
121.8051,25.0632695
121.4973616667,24.9360683333
121.15423825,24.03511464
120.58670915,23.43256014
121.5938215833,24.7573985833
120.6327828355,22.6532784129
120.5942999675,23.6370943534
121.6959049722,24.776813
120.92701184,24.77328378
120.7676194444,24.3562861111
120.8560033333,22.2057883333
120.7491849722,23.4534629722
121.8170549722,24.463383
120.2933095875,22.6369112181
120.704375,23.1071733333
120.9859329,24.3980039
120.9189866944,23.84638675
120.72973919,22.89420359
121.4907536,24.1938752
120.4871832,23.32881194
120.9237516667,23.94138
121.5737152125,25.1094546303
121.0426905379,22.8684127888
121.1777544133,22.8738634272
120.244828,23.054665
121.5082333333,23.486955
120.7613889,22.6269444
121.15775217,24.89048525
121.3608333333,24.7116666667
121.621475,24.1586583333
121.1077666667,24.67335
121.2356602,24.722574
120.4549842296,23.4526935715
120.78408,24.046874
120.5998616667,22.929405
120.7265713757,24.5176170269
121.6781383333,25.0818778333
120.4428958843,22.7955481172
121.3922990486,23.5114524617
121.1055305,24.7702466667
120.6927872787,22.7775656935
121.5831972222,24.8510361111
121.0533666667,23.1580583333
121.36062,24.9650083333
120.82772018,23.26296562
120.79224674,23.94393197
121.1340844631,22.7674191668
121.9061709247,25.070947936
121.6137846163,25.2409110493
